25.59,65.8,0
23.5,59.53,0
24.23,56.39,0
24.43,60.18,0
25.48,63.08,0
25.6,65.28,0
24.52,68.17,0
23.64,65.06,0
25.59,63.38,0
24.2,57.97,0
27.5,69.52,0
25.07,65.38,0
27.88,68.42,0
23.93,55.59,0
24.35,68.17,0
23.99,61.32,0
28.29,63.0,0
26.96,59.73,0
26.93,67.52,0
23.59,66.25,0
28.44,66.22,0
24.9,66.84,0
24.02,61.72,0
28.04,59.4,0
24.94,56.95,0
23.6,65.18,0
24.56,58.98,0
25.96,55.8,0
26.37,57.2,0
26.45,65.5,0
24.01,61.21,0
26.97,61.21,0
23.75,63.04,0
26.82,62.72,0
28.22,63.8,0
28.02,57.06,0
24.2,67.11,0
25.49,57.48,0
28.14,60.22,0
27.25,65.89,0
27.92,64.36,0
27.25,60.23,0
24.85,68.44,0
25.64,69.47,0
26.82,64.33,0
24.07,69.24,0
25.75,63.68,0
25.54,58.56,0
28.02,63.61,0
23.51,64.26,0
25.13,62.91,0
27.93,60.36,0
28.04,64.35,0
23.58,68.94,0
26.95,69.96,0
24.36,57.06,0
28.16,65.45,0
23.83,66.33,0
27.27,68.85,0
27.06,56.86,0
23.6,55.39,0
23.64,58.69,0
27.8,63.08,0
26.26,67.63,0
24.12,59.19,0
26.43,69.54,0
26.31,55.28,0
27.5,58.49,0
27.54,60.82,0
27.82,66.21,0
26.28,57.05,0
23.8,56.82,0
23.72,56.61,0
24.63,65.69,0
26.3,55.19,0
23.86,69.51,0
26.34,58.05,0
24.76,66.16,0
24.48,63.72,0
28.35,67.7,0
24.7,62.41,0
26.6,67.43,0
24.28,55.28,0
23.85,62.3,0
26.53,63.53,0
25.09,69.83,0
26.4,60.7,0
26.25,66.18,0
26.85,58.97,0
23.83,60.55,0
26.65,58.15,0
27.26,56.0,0
24.8,67.07,0
24.47,64.59,0
26.12,68.87,0
24.82,55.99,0
27.18,66.58,0
28.04,68.98,0
23.57,58.52,0
26.58,69.24,0
28.25,63.35,0
28.08,64.62,0
25.45,62.29,0
26.52,63.24,0
28.13,68.78,0
25.47,69.45,0
24.37,56.89,0
24.18,62.58,0
23.61,69.22,0
27.64,55.23,0
24.38,59.98,0
24.15,67.14,0
25.22,69.1,0
26.41,68.18,0
27.72,68.58,0
25.8,63.2,0
27.49,59.29,0
25.95,63.99,0
23.58,63.9,0
25.67,67.11,0
25.08,68.39,0
26.39,57.76,0
27.44,64.18,0
23.77,61.3,0
26.9,68.78,0
23.5,69.65,0
25.38,69.61,0
26.52,67.43,0
26.37,64.42,0
24.93,63.8,0
27.25,67.87,0
27.28,65.47,0
27.82,59.84,0
26.85,61.76,0
25.41,61.16,0
25.51,59.76,0
26.61,61.45,0
28.37,65.17,0
24.49,61.4,0
25.22,66.96,0
27.9,68.56,0
26.81,59.05,0
24.76,67.82,0
26.14,67.03,0
26.36,66.0,0
26.1,66.56,0
26.34,61.99,0
25.21,56.02,0
25.39,56.19,0
28.41,57.72,0
27.56,68.12,0
26.94,63.54,0
24.3,62.0,0
25.23,58.38,0
26.46,59.68,0
28.08,68.64,0
24.79,56.66,0
24.46,62.49,0
27.14,58.12,0
24.74,67.78,0
25.58,64.25,0
24.67,56.53,0
26.08,62.16,0
24.26,64.33,0
26.22,64.81,0
24.22,66.27,0
24.61,62.79,0
27.43,55.33,0
25.12,68.09,0
27.72,63.08,0
27.83,69.25,0
27.63,67.81,0
23.99,64.77,0
27.02,64.15,0
27.5,55.52,0
27.35,65.98,0
24.8,58.86,0
26.66,60.18,0
27.48,61.69,0
27.41,69.86,0
25.0,57.15,0
28.01,63.12,0
28.37,64.55,0
28.47,63.19,0
26.13,57.03,0
25.28,55.39,0
24.3,66.18,0
23.65,60.5,0
27.81,65.39,0
26.95,57.83,0
25.71,63.72,0
